Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,LOG,Arena,Notes
7:30p,Boston Celtics,95,Cleveland Cavaliers,89,Box Score,,"20,562",2:44,Quicken Loans Arena,
8:30p,Washington Wizards,102,Dallas Mavericks,91,Box Score,,"19,871",2:18,American Airlines Center,
10:00p,Houston Rockets,87,Portland Trail Blazers,96,Box Score,,"20,403",2:14,Rose Garden Arena,
10:30p,Los Angeles Clippers,92,Los Angeles Lakers,99,Box Score,,"18,997",2:30,STAPLES Center,
7:00p,Indiana Pacers,109,Atlanta Hawks,120,Box Score,,"17,998",2:25,Philips Arena,
7:00p,Cleveland Cavaliers,91,Toronto Raptors,101,Box Score,,"20,152",2:38,Air Canada Centre,
7:00p,Philadelphia 76ers,106,Orlando Magic,120,Box Score,,"17,461",2:12,Amway Arena,
7:30p,Charlotte Bobcats,59,Boston Celtics,92,Box Score,,"18,624",2:26,TD Garden,
7:30p,New York Knicks,93,Miami Heat,115,Box Score,,"19,600",2:07,AmericanAirlines Arena,
8:00p,Sacramento Kings,89,Oklahoma City Thunder,102,Box Score,,"18,203",2:13,Oklahoma City Arena,
8:00p,New Orleans Hornets,96,San Antonio Spurs,113,Box Score,,"18,581",2:22,AT&T Center,
8:00p,New Jersey Nets,93,Minnesota Timberwolves,95,Box Score,,"18,358",2:29,Target Center,
8:00p,Detroit Pistons,96,Memphis Grizzlies,74,Box Score,,"17,212",2:25,FedEx Forum,
10:30p,Phoenix Suns,109,Los Angeles Clippers,107,Box Score,,"15,974",2:26,STAPLES Center,
10:30p,Houston Rockets,108,Golden State Warriors,107,Box Score,,"19,596",2:15,Oracle Arena,
10:30p,Utah Jazz,105,Denver Nuggets,114,Box Score,,"19,155",2:36,Pepsi Center,
8:00p,San Antonio Spurs,85,Chicago Bulls,92,Box Score,,"21,412",2:29,United Center,
10:30p,Denver Nuggets,97,Portland Trail Blazers,94,Box Score,,"20,218",2:49,Rose Garden Arena,
7:00p,New York Knicks,100,Charlotte Bobcats,102,Box Score,2OT,"18,624",3:00,Time Warner Cable Arena,
7:00p,Milwaukee Bucks,86,Philadelphia 76ers,99,Box Score,,"14,638",2:17,Wachovia Center,
7:30p,Washington Wizards,89,Atlanta Hawks,100,Box Score,,"17,079",2:26,Philips Arena,
8:00p,Chicago Bulls,90,Boston Celtics,118,Box Score,,"18,624",2:24,TD Garden,
8:00p,Sacramento Kings,92,New Orleans Hornets,97,Box Score,,"17,306",2:15,New Orleans Arena,
8:00p,Orlando Magic,95,New Jersey Nets,85,Box Score,,"17,525",2:14,Izod Center,
8:00p,Cleveland Cavaliers,104,Minnesota Timberwolves,87,Box Score,,"19,356",2:09,Target Center,
8:00p,Toronto Raptors,107,Memphis Grizzlies,115,Box Score,,"10,563",2:23,FedEx Forum,
8:00p,Miami Heat,96,Indiana Pacers,83,Box Score,,"18,165",2:32,Conseco Fieldhouse,
