Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,LOG,Arena,Notes
"Tue, Oct 27, 2009",7:30p,Boston Celtics,95,Cleveland Cavaliers,89,Box Score,,"20,562",2:44,Quicken Loans Arena,
"Tue, Oct 27, 2009",8:30p,Washington Wizards,102,Dallas Mavericks,91,Box Score,,"19,871",2:18,American Airlines Center,
"Tue, Oct 27, 2009",10:00p,Houston Rockets,87,Portland Trail Blazers,96,Box Score,,"20,403",2:14,Rose Garden Arena,
"Tue, Oct 27, 2009",10:30p,Los Angeles Clippers,92,Los Angeles Lakers,99,Box Score,,"18,997",2:30,STAPLES Center,
"Wed, Oct 28, 2009",7:00p,Indiana Pacers,109,Atlanta Hawks,120,Box Score,,"17,998",2:25,Philips Arena,
"Wed, Oct 28, 2009",7:00p,Cleveland Cavaliers,91,Toronto Raptors,101,Box Score,,"20,152",2:38,Air Canada Centre,
"Wed, Oct 28, 2009",7:00p,Philadelphia 76ers,106,Orlando Magic,120,Box Score,,"17,461",2:12,Amway Arena,
"Wed, Oct 28, 2009",7:30p,Charlotte Bobcats,59,Boston Celtics,92,Box Score,,"18,624",2:26,TD Garden,
"Wed, Oct 28, 2009",7:30p,New York Knicks,93,Miami Heat,115,Box Score,,"19,600",2:07,AmericanAirlines Arena,
"Wed, Oct 28, 2009",8:00p,Sacramento Kings,89,Oklahoma City Thunder,102,Box Score,,"18,203",2:13,Oklahoma City Arena,
"Wed, Oct 28, 2009",8:00p,New Orleans Hornets,96,San Antonio Spurs,113,Box Score,,"18,581",2:22,AT&T Center,
"Wed, Oct 28, 2009",8:00p,New Jersey Nets,93,Minnesota Timberwolves,95,Box Score,,"18,358",2:29,Target Center,
"Wed, Oct 28, 2009",8:00p,Detroit Pistons,96,Memphis Grizzlies,74,Box Score,,"17,212",2:25,FedEx Forum,
"Wed, Oct 28, 2009",10:30p,Phoenix Suns,109,Los Angeles Clippers,107,Box Score,,"15,974",2:26,STAPLES Center,
"Wed, Oct 28, 2009",10:30p,Houston Rockets,108,Golden State Warriors,107,Box Score,,"19,596",2:15,Oracle Arena,
"Wed, Oct 28, 2009",10:30p,Utah Jazz,105,Denver Nuggets,114,Box Score,,"19,155",2:36,Pepsi Center,
"Thu, Oct 29, 2009",8:00p,San Antonio Spurs,85,Chicago Bulls,92,Box Score,,"21,412",2:29,United Center,
"Thu, Oct 29, 2009",10:30p,Denver Nuggets,97,Portland Trail Blazers,94,Box Score,,"20,218",2:49,Rose Garden Arena,
"Fri, Oct 30, 2009",7:00p,New York Knicks,100,Charlotte Bobcats,102,Box Score,2OT,"18,624",3:00,Time Warner Cable Arena,
"Fri, Oct 30, 2009",7:00p,Milwaukee Bucks,86,Philadelphia 76ers,99,Box Score,,"14,638",2:17,Wachovia Center,
"Fri, Oct 30, 2009",7:30p,Washington Wizards,89,Atlanta Hawks,100,Box Score,,"17,079",2:26,Philips Arena,
"Fri, Oct 30, 2009",8:00p,Chicago Bulls,90,Boston Celtics,118,Box Score,,"18,624",2:24,TD Garden,
"Fri, Oct 30, 2009",8:00p,Sacramento Kings,92,New Orleans Hornets,97,Box Score,,"17,306",2:15,New Orleans Arena,
"Fri, Oct 30, 2009",8:00p,Orlando Magic,95,New Jersey Nets,85,Box Score,,"17,525",2:14,Izod Center,
"Fri, Oct 30, 2009",8:00p,Cleveland Cavaliers,104,Minnesota Timberwolves,87,Box Score,,"19,356",2:09,Target Center,
"Fri, Oct 30, 2009",8:00p,Toronto Raptors,107,Memphis Grizzlies,115,Box Score,,"10,563",2:23,FedEx Forum,
"Fri, Oct 30, 2009",8:00p,Miami Heat,96,Indiana Pacers,83,Box Score,,"18,165",2:32,Conseco Fieldhouse,
"Fri, Oct 30, 2009",8:00p,Oklahoma City Thunder,91,Detroit Pistons,83,Box Score,,"22,076",2:35,The Palace of Auburn Hills,
"Fri, Oct 30, 2009",9:00p,Los Angeles Clippers,98,Utah Jazz,111,Box Score,,"19,911",2:15,EnergySolutions Arena,
"Fri, Oct 30, 2009",10:00p,Golden State Warriors,101,Phoenix Suns,123,Box Score,,"18,422",2:20,US Airways Center,
"Fri, Oct 30, 2009",10:30p,Dallas Mavericks,94,Los Angeles Lakers,80,Box Score,,"18,997",2:32,STAPLES Center,
"Sat, Oct 31, 2009",7:00p,New Jersey Nets,104,Washington Wizards,123,Box Score,,"20,173",2:15,Verizon Center,
"Sat, Oct 31, 2009",7:30p,Charlotte Bobcats,79,Cleveland Cavaliers,90,Box Score,,"20,562",2:11,Quicken Loans Arena,
"Sat, Oct 31, 2009",7:30p,Philadelphia 76ers,141,New York Knicks,127,Box Score,OT,"19,763",2:42,Madison Square Garden (IV),
"Sat, Oct 31, 2009",8:30p,Portland Trail Blazers,107,Houston Rockets,111,Box Score,,"18,100",2:25,Toyota Center,
"Sat, Oct 31, 2009",8:30p,Detroit Pistons,85,Milwaukee Bucks,96,Box Score,,"15,095",2:19,Bradley Center,
"Sat, Oct 31, 2009",8:30p,Sacramento Kings,94,San Antonio Spurs,113,Box Score,,"16,966",2:16,AT&T Center,
"Sat, Oct 31, 2009",10:30p,Dallas Mavericks,93,Los Angeles Clippers,84,Box Score,,"13,626",2:17,STAPLES Center,
"Sun, Nov 1, 2009",1:00p,Orlando Magic,125,Toronto Raptors,116,Box Score,,"18,147",2:35,Air Canada Centre,
"Sun, Nov 1, 2009",6:00p,New Orleans Hornets,87,Boston Celtics,97,Box Score,,"18,624",2:09,TD Garden,
"Sun, Nov 1, 2009",6:00p,Chicago Bulls,87,Miami Heat,95,Box Score,,"15,865",2:17,AmericanAirlines Arena,
"Sun, Nov 1, 2009",7:00p,Portland Trail Blazers,83,Oklahoma City Thunder,74,Box Score,,"16,920",2:21,Oklahoma City Arena,
"Sun, Nov 1, 2009",8:00p,Memphis Grizzlies,123,Denver Nuggets,133,Box Score,,"15,823",2:26,Pepsi Center,
"Sun, Nov 1, 2009",8:00p,Minnesota Timberwolves,112,Phoenix Suns,120,Box Score,,"15,376",2:15,US Airways Center,
"Sun, Nov 1, 2009",9:30p,Atlanta Hawks,110,Los Angeles Lakers,118,Box Score,,"18,997",2:16,STAPLES Center,
"Mon, Nov 2, 2009",7:00p,New Jersey Nets,68,Charlotte Bobcats,79,Box Score,,"9,380",2:17,Time Warner Cable Arena,
"Mon, Nov 2, 2009",7:30p,New Orleans Hornets,111,New York Knicks,117,Box Score,,"19,763",2:18,Madison Square Garden (IV),
"Mon, Nov 2, 2009",9:00p,Houston Rockets,113,Utah Jazz,96,Box Score,,"19,911",2:14,EnergySolutions Arena,
"Mon, Nov 2, 2009",10:00p,Memphis Grizzlies,116,Sacramento Kings,127,Box Score,OT,"17,317",2:45,Power Balance Pavilion,
"Mon, Nov 2, 2009",10:30p,Minnesota Timberwolves,90,Los Angeles Clippers,93,Box Score,,"13,614",2:19,STAPLES Center,
"Tue, Nov 3, 2009",7:00p,Washington Wizards,90,Cleveland Cavaliers,102,Box Score,,"20,562",2:20,Quicken Loans Arena,
"Tue, Nov 3, 2009",7:00p,Denver Nuggets,111,Indiana Pacers,93,Box Score,,"10,627",2:16,Conseco Fieldhouse,
"Tue, Nov 3, 2009",7:00p,Boston Celtics,105,Philadelphia 76ers,74,Box Score,,"11,251",2:13,Wachovia Center,
"Tue, Nov 3, 2009",7:30p,Orlando Magic,80,Detroit Pistons,85,Box Score,,"15,487",2:23,The Palace of Auburn Hills,
"Tue, Nov 3, 2009",7:30p,Phoenix Suns,104,Miami Heat,96,Box Score,,"15,105",2:16,AmericanAirlines Arena,
"Tue, Nov 3, 2009",8:00p,Milwaukee Bucks,81,Chicago Bulls,83,Box Score,,"19,789",2:17,United Center,
"Tue, Nov 3, 2009",8:00p,Los Angeles Lakers,101,Oklahoma City Thunder,98,Box Score,OT,"18,203",2:36,Oklahoma City Arena,
"Tue, Nov 3, 2009",8:30p,Utah Jazz,85,Dallas Mavericks,96,Box Score,,"19,725",2:12,American Airlines Center,
"Tue, Nov 3, 2009",10:00p,Atlanta Hawks,97,Portland Trail Blazers,91,Box Score,,"20,325",2:11,Rose Garden Arena,
"Wed, Nov 4, 2009",7:00p,Phoenix Suns,100,Orlando Magic,122,Box Score,,"17,461",2:13,Amway Arena,
"Wed, Nov 4, 2009",7:00p,Detroit Pistons,99,Toronto Raptors,110,Box Score,,"17,915",2:23,Air Canada Centre,
